# 备份成交的订单，过后查看.

2020-07-09 23:07:59,688 - root - INFO - 卖单成交时间: 2020-07-09 23:07:59.688355, 价格: 16.619, 数量: 20
2020-07-09 23:10:29,784 - root - INFO - 买单成交时间: 2020-07-09 23:10:29.784768, 价格: 16.679, 数量: 20
2020-07-09 23:10:48,214 - root - INFO - 卖单成交时间: 2020-07-09 23:10:48.214120, 价格: 16.619, 数量: 20
2020-07-09 23:13:16,402 - root - INFO - 卖单成交时间: 2020-07-09 23:13:16.402337, 价格: 16.669, 数量: 20
2020-07-09 23:15:30,130 - root - INFO - 卖单成交时间: 2020-07-09 23:15:30.130194, 价格: 16.719, 数量: 20
2020-07-09 23:20:11,948 - root - INFO - 买单成交时间: 2020-07-09 23:20:11.947634, 价格: 16.669, 数量: 20
2020-07-09 23:22:22,317 - root - INFO - 买单成交时间: 2020-07-09 23:22:22.317960, 价格: 16.619, 数量: 20
2020-07-09 23:22:25,190 - root - INFO - 买单成交时间: 2020-07-09 23:22:25.190795, 价格: 16.569, 数量: 20
2020-07-09 23:24:53,401 - root - INFO - 买单成交时间: 2020-07-09 23:24:53.401308, 价格: 16.569, 数量: 20
2020-07-09 23:24:55,481 - root - INFO - 买单成交时间: 2020-07-09 23:24:55.481651, 价格: 16.519, 数量: 20
2020-07-09 23:25:38,122 - root - INFO - 卖单成交时间: 2020-07-09 23:25:38.122312, 价格: 16.569, 数量: 20
2020-07-09 23:27:51,621 - root - INFO - 买单成交时间: 2020-07-09 23:27:51.621645, 价格: 16.519, 数量: 20
2020-07-09 23:30:05,100 - root - INFO - 卖单成交时间: 2020-07-09 23:30:05.100345, 价格: 16.569, 数量: 20
2020-07-09 23:32:49,853 - root - INFO - 卖单成交时间: 2020-07-09 23:32:49.853402, 价格: 16.619, 数量: 20
2020-07-09 23:33:11,453 - root - INFO - 卖单成交时间: 2020-07-09 23:33:11.453855, 价格: 16.569, 数量: 20
2020-07-09 23:35:29,255 - root - INFO - 卖单成交时间: 2020-07-09 23:35:29.255569, 价格: 16.669, 数量: 20
2020-07-09 23:35:32,203 - root - INFO - 卖单成交时间: 2020-07-09 23:35:32.203065, 价格: 16.619, 数量: 20
2020-07-09 23:37:40,406 - root - INFO - 卖单成交时间: 2020-07-09 23:37:40.406576, 价格: 16.679, 数量: 20
2020-07-09 23:40:15,315 - root - INFO - 买单成交时间: 2020-07-09 23:40:15.315662, 价格: 16.629, 数量: 20
2020-07-09 23:40:17,588 - root - INFO - 买单成交时间: 2020-07-09 23:40:17.588059, 价格: 16.619, 数量: 20
2020-07-09 23:45:13,008 - root - INFO - 买单成交时间: 2020-07-09 23:45:13.008229, 价格: 16.579, 数量: 20
2020-07-09 23:45:15,665 - root - INFO - 买单成交时间: 2020-07-09 23:45:15.665946, 价格: 16.569, 数量: 20
2020-07-09 23:47:49,420 - root - INFO - 买单成交时间: 2020-07-09 23:47:49.420363, 价格: 16.569, 数量: 20
2020-07-09 23:52:17,749 - root - INFO - 卖单成交时间: 2020-07-09 23:52:17.749743, 价格: 16.619, 数量: 20
2020-07-09 23:54:25,585 - root - INFO - 买单成交时间: 2020-07-09 23:54:25.585894, 价格: 16.569, 数量: 20
2020-07-09 23:58:58,937 - root - INFO - 买单成交时间: 2020-07-09 23:58:58.937276, 价格: 16.519, 数量: 20
2020-07-09 23:59:05,839 - root - INFO - 卖单成交时间: 2020-07-09 23:59:05.839139, 价格: 16.569, 数量: 20
2020-07-10 00:01:13,394 - root - INFO - 买单成交时间: 2020-07-10 00:01:13.394297, 价格: 16.519, 数量: 20
2020-07-10 00:01:38,540 - root - INFO - 卖单成交时间: 2020-07-10 00:01:38.540344, 价格: 16.619, 数量: 20
2020-07-10 00:01:41,592 - root - INFO - 卖单成交时间: 2020-07-10 00:01:41.592469, 价格: 16.600, 数量: 20
2020-07-10 00:01:44,339 - root - INFO - 卖单成交时间: 2020-07-10 00:01:44.339190, 价格: 16.650, 数量: 20
2020-07-10 00:03:57,059 - root - INFO - 卖单成交时间: 2020-07-10 00:03:57.059912, 价格: 16.700, 数量: 20
2020-07-10 00:03:59,757 - root - INFO - 卖单成交时间: 2020-07-10 00:03:59.757313, 价格: 16.669, 数量: 20
2020-07-10 00:06:15,345 - root - INFO - 买单成交时间: 2020-07-10 00:06:15.345058, 价格: 16.650, 数量: 20
2020-07-10 00:09:27,890 - root - INFO - 卖单成交时间: 2020-07-10 00:09:27.890942, 价格: 16.700, 数量: 20
2020-07-10 00:11:35,330 - root - INFO - 买单成交时间: 2020-07-10 00:11:35.330124, 价格: 16.650, 数量: 20
2020-07-10 00:22:12,783 - root - INFO - 买单成交时间: 2020-07-10 00:22:12.783282, 价格: 16.619, 数量: 20
2020-07-10 00:22:26,190 - root - INFO - 买单成交时间: 2020-07-10 00:22:26.190464, 价格: 16.569, 数量: 20
2020-07-10 00:25:20,087 - root - INFO - 买单成交时间: 2020-07-10 00:25:20.087897, 价格: 16.600, 数量: 20
2020-07-10 00:25:56,200 - root - INFO - 卖单成交时间: 2020-07-10 00:25:56.200267, 价格: 16.619, 数量: 20
2020-07-10 00:28:39,830 - root - INFO - 卖单成交时间: 2020-07-10 00:28:39.830031, 价格: 16.650, 数量: 20
2020-07-10 00:35:51,070 - root - INFO - 卖单成交时间: 2020-07-10 00:35:51.070578, 价格: 16.700, 数量: 20
2020-07-10 00:35:54,124 - root - INFO - 卖单成交时间: 2020-07-10 00:35:54.124564, 价格: 16.669, 数量: 20
2020-07-10 00:40:04,858 - root - INFO - 买单成交时间: 2020-07-10 00:40:04.858663, 价格: 16.650, 数量: 20
2020-07-10 00:40:06,754 - root - INFO - 买单成交时间: 2020-07-10 00:40:06.754435, 价格: 16.619, 数量: 20
2020-07-10 00:44:32,805 - root - INFO - 卖单成交时间: 2020-07-10 00:44:32.805578, 价格: 16.669, 数量: 20
2020-07-10 00:46:37,062 - root - INFO - 买单成交时间: 2020-07-10 00:46:37.062855, 价格: 16.619, 数量: 20
2020-07-10 00:46:39,160 - root - INFO - 买单成交时间: 2020-07-10 00:46:39.160529, 价格: 16.600, 数量: 20
2020-07-10 00:46:41,104 - root - INFO - 买单成交时间: 2020-07-10 00:46:41.104453, 价格: 16.569, 数量: 20
2020-07-10 00:49:38,951 - root - INFO - 卖单成交时间: 2020-07-10 00:49:38.951539, 价格: 16.619, 数量: 20
2020-07-10 00:58:35,412 - root - INFO - 卖单成交时间: 2020-07-10 00:58:35.412878, 价格: 16.669, 数量: 20
2020-07-10 00:58:37,287 - root - INFO - 卖单成交时间: 2020-07-10 00:58:37.287912, 价格: 16.650, 数量: 20
2020-07-10 01:01:11,572 - root - INFO - 卖单成交时间: 2020-07-10 01:01:11.572553, 价格: 16.650, 数量: 20
2020-07-10 01:03:27,837 - root - INFO - 卖单成交时间: 2020-07-10 01:03:27.837636, 价格: 16.700, 数量: 20
2020-07-10 01:07:36,331 - root - INFO - 卖单成交时间: 2020-07-10 01:07:36.331358, 价格: 16.719, 数量: 20
2020-07-10 01:09:39,277 - root - INFO - 买单成交时间: 2020-07-10 01:09:39.277182, 价格: 16.669, 数量: 20
2020-07-10 01:09:40,725 - root - INFO - 买单成交时间: 2020-07-10 01:09:40.725283, 价格: 16.650, 数量: 20
2020-07-10 01:16:34,950 - root - INFO - 卖单成交时间: 2020-07-10 01:16:34.950281, 价格: 16.700, 数量: 20
2020-07-10 01:25:09,966 - root - INFO - 买单成交时间: 2020-07-10 01:25:09.966132, 价格: 16.650, 数量: 20
2020-07-10 01:38:06,323 - root - INFO - 买单成交时间: 2020-07-10 01:38:06.323230, 价格: 16.619, 数量: 20
2020-07-10 01:40:12,931 - root - INFO - 买单成交时间: 2020-07-10 01:40:12.931529, 价格: 16.600, 数量: 20
2020-07-10 01:40:14,323 - root - INFO - 买单成交时间: 2020-07-10 01:40:14.323860, 价格: 16.569, 数量: 20
2020-07-10 01:47:08,861 - root - INFO - 卖单成交时间: 2020-07-10 01:47:08.861743, 价格: 16.619, 数量: 20
2020-07-10 01:53:33,629 - root - INFO - 卖单成交时间: 2020-07-10 01:53:33.629391, 价格: 16.650, 数量: 20
2020-07-10 02:07:55,332 - root - INFO - 卖单成交时间: 2020-07-10 02:07:55.332636, 价格: 16.700, 数量: 20
2020-07-10 02:08:25,116 - root - INFO - 卖单成交时间: 2020-07-10 02:08:25.116067, 价格: 16.669, 数量: 20
2020-07-10 02:10:44,743 - root - INFO - 卖单成交时间: 2020-07-10 02:10:44.743775, 价格: 16.719, 数量: 20
2020-07-10 02:10:46,072 - root - INFO - 卖单成交时间: 2020-07-10 02:10:46.072274, 价格: 16.700, 数量: 20
2020-07-10 02:24:02,444 - root - INFO - 买单成交时间: 2020-07-10 02:24:02.444218, 价格: 16.669, 数量: 20
2020-07-10 02:26:17,867 - root - INFO - 买单成交时间: 2020-07-10 02:26:17.867489, 价格: 16.650, 数量: 20
2020-07-10 02:53:28,632 - root - INFO - 卖单成交时间: 2020-07-10 02:53:28.632402, 价格: 16.700, 数量: 20
2020-07-10 03:00:22,306 - root - INFO - 卖单成交时间: 2020-07-10 03:00:22.306821, 价格: 16.719, 数量: 20
2020-07-10 03:13:19,057 - root - INFO - 买单成交时间: 2020-07-10 03:13:19.057096, 价格: 16.669, 数量: 20
2020-07-10 03:31:10,389 - root - INFO - 买单成交时间: 2020-07-10 03:31:10.389104, 价格: 16.650, 数量: 20
2020-07-10 03:31:11,842 - root - INFO - 买单成交时间: 2020-07-10 03:31:11.842152, 价格: 16.619, 数量: 20
2020-07-10 03:33:17,731 - root - INFO - 买单成交时间: 2020-07-10 03:33:17.731274, 价格: 16.600, 数量: 20
2020-07-10 03:35:49,617 - root - INFO - 买单成交时间: 2020-07-10 03:35:49.617451, 价格: 16.600, 数量: 20
2020-07-10 03:50:02,311 - root - INFO - 卖单成交时间: 2020-07-10 03:50:02.311083, 价格: 16.650, 数量: 20
2020-07-10 04:00:38,403 - root - INFO - 卖单成交时间: 2020-07-10 04:00:38.403153, 价格: 16.669, 数量: 20
2020-07-10 04:37:55,791 - root - INFO - 卖单成交时间: 2020-07-10 04:37:55.791395, 价格: 16.700, 数量: 20
2020-07-10 04:40:08,046 - root - INFO - 卖单成交时间: 2020-07-10 04:40:08.046507, 价格: 16.750, 数量: 20
